Course_Number,Section_number,PAWS_ID,Seats_Filled,Seats_Open
CSC 215,0,"20251, 20334, 44027, 44149, 44179, 44246, 44281, 44583, 44603, 44626, 44663, 44720, 44774, 44807, 44807, 44911, 44951, 44991, 45659, ",19,5
CSC 215,1,"45739, 45756, 45782, 45786, 45966, 46085, 46122, 46178, 46244, 46322, 46366, 46370, 46380, 46410, 46411, 46453, 46459, 46463, 46469, 46500, 46577, 46591, 46625, 46637, 46679, 46699, 46814, 46847, 46862, 46922, 46939, 46995, 46998, 47167, 47183, 47196, 47269, 47298, ",19,5
CSC 215,2,"46500, 46577, 46591, 46625, 46637, 46679, 46699, 46814, 46847, 46862, 46922, 46939, 46995, 46998, 47167, 47183, 47196, 47269, 47298, 47505, 47507, 47509, 48552, 48602, 48749, 48801, 50893, 50894, 50895, 50896, 50897, 50898, 50899, 50900, 50901, 50902, 50903, 50904, 50905, 50906, 50907, 50908, 50909, 50910, 50911, 50912, 50913, 50914, 50915, 50916, 50917, 50918, 50919, 50920, 50921, 50922, 50923, ",19,5
CSC 215,3,"47505, 47507, 47509, 48552, 48602, 48749, 48801, 50893, 50894, 50895, 50896, 50897, 50898, 50899, 50900, 50901, 50902, 50903, 50904, 50905, 50906, 50907, 50908, 50909, 50910, 50911, 50912, 50913, 50914, 50915, 50916, 50917, 50918, 50919, 50920, 50921, 50922, 50923, 50924, 50925, 50926, 50927",19,5
CSC 215,4,"50905, 50906, 50907, 50908, 50909, 50910, 50911, 50912, 50913, 50914, 50915, 50916, 50917, 50918, 50919, 50920, 50921, 50922, 50923, 50924, 50925, 50926, 50927",19,5
CSC 220,0,"18656, 19338, 19695, 19754, 19794, 20312, 50928, 50929, 50930, 50931, 50932, 50933, 50934, 50935, 50936, 50937, 50938, 50939, 50940, 50941, 50942, 50943, 50944, 50945, ",24,0
CSC 220,1,"50946, 50947, 50948, 50949, 50950, 50951, 50952, 50953, 50954, 50955, 50956, 50957, 50958, 50959, 50960, 50961, 50962, 50963, 50964, 50965, 50966, 50967, 50968, 50969, 50970, 50971, 50972, 50973, 50974, 50975, 50976, 50977, 50978, 50979, 50980, 50981, 50982, 50983, 50984, 50985, 50986, 50987, 50988, 50989, 50990, 50991, 50992, 50993, ",24,0
CSC 220,2,"50970, 50971, 50972, 50973, 50974, 50975, 50976, 50977, 50978, 50979, 50980, 50981, 50982, 50983, 50984, 50985, 50986, 50987, 50988, 50989, 50990, 50991, 50992, 50993, 50994, 50995, 50996, 50997, 50998, 50999, 51000, 51001, 51002, 51003, 51004, 51005, 51006, 51007, 51008, 51009, 51010, 51011, 51012, 51013, 51014, 51015, 51016, 51017, 51199, 51200, 51201, 51202, 51203, 51204, 51205, 51206, 51207, 51208, 51209, 51210, 51211, 51212, 51213, 51214, 51215, 51216, 51217, 51218, 51219, 51220, 51221, 51222",24,0
CSC 220,3,"50994, 50995, 50996, 50997, 50998, 50999, 51000, 51001, 51002, 51003, 51004, 51005, 51006, 51007, 51008, 51009, 51010, 51011, 51012, 51013, 51014, 51015, 51016, 51017, 51199, 51200, 51201, 51202, 51203, 51204, 51205, 51206, 51207, 51208, 51209, 51210, 51211, 51212, 51213, 51214, 51215, 51216, 51217, 51218, 51219, 51220, 51221, 51222",24,0
CSC 220,4,"51199, 51200, 51201, 51202, 51203, 51204, 51205, 51206, 51207, 51208, 51209, 51210, 51211, 51212, 51213, 51214, 51215, 51216, 51217, 51218, 51219, 51220, 51221, 51222",24,0
CSC 230,0,"19429, 19506, ",2,22
CSC 230,1,"19707, 19429, 19506, 19707",2,22
CSC 230,2,"19506, 19707",2,22
CSC 250,0,"",0,24
CSC 270,0,"19358, ",1,23
CSC 270,1,"19583, 20230, ",1,23
CSC 270,2,"20230, 19358, 19583",1,23
CSC 275,0,"18344, 18396, 18436, 18451, 18576, 18670, 18730, 18746, 19065, 19076, 19078, 19217, 19268, 19319, 19432, 19450, 19520, 19665, 51018, 51019, 51020, 51021, 51022, 51023",24,0
CSC 305,0,"19024, 19058, 19153, 19202, 19301, 19325, 19362, 19375, 18436, 18451, 19024, 19058, 19065, 19076, 19078, 19153, 19202, 19217, 19268, 19301, 19319, 19375",22,2
CSC 315,0,"19241, 19321, 51050, 51051, 51052, 51053, 51054, 51055, 51056, 51057, 51058, 51059, 51060, 51061, 51062, 51063, 51064, 51065, 51066, 51067, 51068, 51069",22,0
CSC 325,0,"18585, 19558, 19581, 19653, 19659, 19796, 51024, 51025, 51026, 51027, 51028, 51029, 51030, 51031, 51032, 51033, 51034, 51035, 51036, 51037, 51038, 51039, 51040, 51041, ",24,0
CSC 325,1,"51042, 51043, 51044, 51045, 51046, 51047, 51048, 51049, 51108, 51109, 51110, 51111, 51112, 51113, 51114, 51115, 51116, 51117, 51118, 51119, 51120, 51121, 51122, 51123",24,0
CSC 335,0,"18673, 51070, 51071, 51072, 51073, 51074, 51075, 51076, 51077, 51078, 51079, 51080, 51081, 51082, 51083, 51084, 51085, 51086, 51087, 51088, 51089, 51090, 51091, 51092, ",24,0
CSC 335,1,"51093, 51094, 51095, 51096, 51097, 51098, 51099, 51100, 51101, 51102, 51103, 51104, 51105, 51106, 51107, 18673, 19520, 19581, 51019, 51033, 51034, 51035, 51036, 51037",24,0
CSC 345,0,"18713, 19413, 19458, 19526, 19551, 51167, 51168, 51169, 51170, 51171, 51172, 51173, 51174, 51175, 51176, 51177, 51178, 51179, 51180, 51181, 51182, 51183, 51184, 51185",24,0
CSC 355,0,"18609, 18633, 19345, 19356, 51124, 51125, 51126, 51127, 51128, 51129, 51130, 51140, 51141, 51142, 51143, 51144, 51145, 51146, 51147, 51148, 51149, 51150",22,0
CSC 360,0,"51131, 51132, 51133, 51134, 51135, 51136, 51137, 51138, 51139, 51151, 51152, 51153, 51154, 51155, 51156, 51157, 51158, 51159, 51160, 51161, 51162, 51163, 51164, 51165, ",24,0
CSC 360,1,"51166, 51131, 51132, 51133, 51134, 51135, 51136, 51137, 51138, 51139, 51143, 51144, 51145, 51146, 51148, 51149, 51150, 51151, 51152, 51153, 51154, 51155, 51157, 51158",24,0
CSC 380,0,"19359, 19423, 18609, 18633, 18713, 19241, 19321, 19345, 19413, 19423, 19450, 19458, 19526, 19551, 19653, 19665, 19796, 51098, 51099, 51100, 51101, 51102, 51103, 51104",24,0
CSC 415,0,"18585, 19356, 19432, 51026, 51027, 51028, 51030, 51031, 51032, 51038, 51039, 51054, 51055, 51056, 51057, 51058, 51059, 51060, ",18,0
CSC 415,1,"51061, 51062, 51063, 51064, 51094, 51095, 51096, 51097, 51120, 51121, 51122, 51123, 51124, 51125, 51126, 51159, 51160, 51161",18,0
CSC 435,0,"18670, 51018, 51020, 51021, 51022, 51023, 51024, 51025, 51040, 51041, 51042, 51044, 51045, 51046, 51047, 51048, 51049, 51050, 51051, 51052, 51053, 51065, 51066, 51067",24,0
CSC 445,0,"51068, 51069, 51071, 51072, 51073, 51074, 51075, 51076, 51077",9,15
CSC 470,0,"51187, 51188, 51189, 51190, 51191, 51192, 51193, 51194, 51195, 51196, 51197, 51198, 51113, 51114, 51115, 51116, 51117, 51118, 51119, 51127, 51128, 51129",22,0
CSC 498,0,"",0,3
CSC 498,1,"",0,3
CSC 498,2,"",0,3
CSC 498,3,"",0,3
CSC 498,4,"",0,3
CSC 498,5,"",0,3
CSC 498,6,"",0,3
CSC 498,7,"",0,3
